id,source,target,node_type,metric_type,entity_type,entity_code,tons,usd,edge_count
100,1024,1028,ss,tons,c,4,1956530,NULL,45
101,1024,1026,ss,tons,c,4,676075,NULL,45
102,1024,1039,ss,tons,c,4,115968,NULL,45
103,1024,1050,ss,tons,c,4,9849310,NULL,45
104,1024,1036,ss,tons,c,4,279530,NULL,45
105,1044,1028,ss,tons,c,4,4324900,NULL,45
106,1044,1026,ss,tons,c,4,1625090,NULL,45
107,1044,1039,ss,tons,c,4,109444,NULL,45
108,1044,1050,ss,tons,c,4,255466,NULL,45
109,1044,1036,ss,tons,c,4,61998.9,NULL,45
110,1028,1026,ss,tons,c,4,2330930,NULL,45
111,1028,1039,ss,tons,c,4,691080,NULL,45
112,1028,1050,ss,tons,c,4,1228470,NULL,45
113,1028,1036,ss,tons,c,4,677185,NULL,45
114,1026,1039,ss,tons,c,4,545469,NULL,45
115,1026,1050,ss,tons,c,4,733945,NULL,45
116,1026,1036,ss,tons,c,4,535455,NULL,45
117,1039,1050,ss,tons,c,4,1055750,NULL,45
118,1039,1036,ss,tons,c,4,5342090,NULL,45
119,1050,1036,ss,tons,c,4,457766,NULL,45
120,1044,1014,ss,tons,c,5,1243050,NULL,45
121,1044,1011,ss,tons,c,5,1693970,NULL,45
122,1044,1016,ss,tons,c,5,1737560,NULL,45
123,1044,1034,ss,tons,c,5,999441,NULL,45
124,1044,1004,ss,tons,c,5,3630590,NULL,45
125,1044,1028,ss,tons,c,5,1637560,NULL,45
126,1044,1005,ss,tons,c,5,2609610,NULL,45
127,1044,1017,ss,tons,c,5,3691150,NULL,45
128,1044,1026,ss,tons,c,5,1446220,NULL,45
129,1014,1011,ss,tons,c,5,1770990,NULL,45
130,1014,1016,ss,tons,c,5,4274120,NULL,45
131,1014,1034,ss,tons,c,5,859754,NULL,45
132,1014,1004,ss,tons,c,5,620887,NULL,45
133,1014,1028,ss,tons,c,5,2482010,NULL,45
134,1014,1005,ss,tons,c,5,788793,NULL,45
135,1014,1017,ss,tons,c,5,1648720,NULL,45
136,1014,1026,ss,tons,c,5,2235120,NULL,45
137,1011,1016,ss,tons,c,5,372426,NULL,45
138,1011,1034,ss,tons,c,5,3504930,NULL,45
139,1011,1004,ss,tons,c,5,1164420,NULL,45
140,1011,1028,ss,tons,c,5,379118,NULL,45
141,1011,1005,ss,tons,c,5,937393,NULL,45
142,1011,1017,ss,tons,c,5,644075,NULL,45
143,1011,1026,ss,tons,c,5,386593,NULL,45
144,1016,1034,ss,tons,c,5,379094,NULL,45
145,1016,1004,ss,tons,c,5,878959,NULL,45
146,1016,1028,ss,tons,c,5,3950490,NULL,45
147,1016,1005,ss,tons,c,5,1233280,NULL,45
148,1016,1017,ss,tons,c,5,1904540,NULL,45
149,1016,1026,ss,tons,c,5,2133410,NULL,45
150,1034,1004,ss,tons,c,5,858072,NULL,45
151,1034,1028,ss,tons,c,5,395583,NULL,45
152,1034,1005,ss,tons,c,5,508269,NULL,45
153,1034,1017,ss,tons,c,5,339559,NULL,45
154,1034,1026,ss,tons,c,5,616943,NULL,45
155,1004,1028,ss,tons,c,5,1016310,NULL,45
156,1004,1005,ss,tons,c,5,1007460,NULL,45
157,1004,1017,ss,tons,c,5,322143,NULL,45
158,1004,1026,ss,tons,c,5,1953880,NULL,45
159,1028,1005,ss,tons,c,5,746009,NULL,45
160,1028,1017,ss,tons,c,5,2981900,NULL,45
161,1028,1026,ss,tons,c,5,1756430,NULL,45
162,1005,1017,ss,tons,c,5,814681,NULL,45
163,1005,1026,ss,tons,c,5,932031,NULL,45
164,1017,1026,ss,tons,c,5,2498700,NULL,45
165,1014,1039,ss,tons,c,6,2650730,NULL,45
166,1014,1005,ss,tons,c,6,4616680,NULL,45
167,1014,1036,ss,tons,c,6,4389040,NULL,45
168,1014,1044,ss,tons,c,6,1164330,NULL,45
169,1014,1031,ss,tons,c,6,479996,NULL,45
170,1014,1011,ss,tons,c,6,5057020,NULL,45
171,1014,1015,ss,tons,c,6,4411990,NULL,45
172,1014,1033,ss,tons,c,6,430599,NULL,45
173,1014,1016,ss,tons,c,6,2064820,NULL,45
174,1039,1005,ss,tons,c,6,449355,NULL,45
175,1039,1036,ss,tons,c,6,2963110,NULL,45
176,1039,1044,ss,tons,c,6,738197,NULL,45
177,1039,1031,ss,tons,c,6,8202110,NULL,45
178,1039,1011,ss,tons,c,6,593281,NULL,45
179,1039,1015,ss,tons,c,6,549641,NULL,45
180,1039,1033,ss,tons,c,6,5311420,NULL,45
181,1039,1016,ss,tons,c,6,1160450,NULL,45
182,1005,1036,ss,tons,c,6,966973,NULL,45
183,1005,1044,ss,tons,c,6,3039970,NULL,45
184,1005,1031,ss,tons,c,6,1950120,NULL,45
185,1005,1011,ss,tons,c,6,563907,NULL,45
186,1005,1015,ss,tons,c,6,401101,NULL,45
187,1005,1033,ss,tons,c,6,355724,NULL,45
188,1005,1016,ss,tons,c,6,450045,NULL,45
189,1036,1044,ss,tons,c,6,647778,NULL,45
190,1036,1031,ss,tons,c,6,663608,NULL,45
191,1036,1011,ss,tons,c,6,802705,NULL,45
192,1036,1015,ss,tons,c,6,3352910,NULL,45
193,1036,1033,ss,tons,c,6,1650260,NULL,45
194,1036,1016,ss,tons,c,6,876469,NULL,45
195,1044,1031,ss,tons,c,6,640303,NULL,45
196,1044,1011,ss,tons,c,6,937348,NULL,45
197,1044,1015,ss,tons,c,6,402334,NULL,45
198,1044,1033,ss,tons,c,6,105365,NULL,45
199,1044,1016,ss,tons,c,6,2588460,NULL,45
200,1031,1011,ss,tons,c,6,552731,NULL,45
201,1031,1015,ss,tons,c,6,262681,NULL,45
202,1031,1033,ss,tons,c,6,4922730,NULL,45
203,1031,1016,ss,tons,c,6,121530,NULL,45
